商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
14888591726,130671803,台灣現貨 網美同款 可做飯吃 迷你小廚房 全套 小廚具 可吃 真實版 兒童 真煮 可做飯 廚房玩具 生日禮物,https://shopee.tw/台灣現貨-網美同款-可做飯吃-迷你小廚房-全套-小廚具-可吃-真實版-兒童-真煮-可做飯-廚房玩具-生日禮物-i.130671803.14888591726?sp_atk=7025ca5e-c9c5-4fe4-83c5-f41a5cf3b9e9&xptdk=7025ca5e-c9c5-4fe4-83c5-f41a5cf3b9e9,1368.0,4.67,602.0,桃園市蘆竹區
16489365102,206763491,🔥🔥臺灣熱賣好貨🔥收納包刀具廚具套裝不銹鋼菜刀菜闆鍋剷勺組閤傢用野炊露營便攜包11 VG6Q,https://shopee.tw/🔥🔥臺灣熱賣好貨🔥收納包刀具廚具套裝不銹鋼菜刀菜闆鍋剷勺組閤傢用野炊露營便攜包11-VG6Q-i.206763491.16489365102?sp_atk=794aa6a3-907c-4507-9294-1d92d8900a49&xptdk=794aa6a3-907c-4507-9294-1d92d8900a49,569.5,4.89,18.0,
5646653295,63377080,🅱台中啵百貨 日式櫸木矽膠廚具組-9件組 9件組 日式廚具 攪拌器 烹調用品廚具組櫸木廚具,https://shopee.tw/🅱台中啵百貨-日式櫸木矽膠廚具組-9件組-9件組-日式廚具-攪拌器-烹調用品廚具組櫸木廚具-i.63377080.5646653295?sp_atk=7790fb55-7a40-4664-8f36-9ce4ca93b2a4&xptdk=7790fb55-7a40-4664-8f36-9ce4ca93b2a4,329.0,4.97,195.0,臺中市霧峰區
1878317037,3547990,現貨 面交 山海戶外 NH Naturehike 鈦杯 鈦鍋 鈦碗 煎鍋 純鈦 鍋具 組通過美國FDA檢驗標準 鈦廚具,https://shopee.tw/現貨-面交-山海戶外-NH-Naturehike-鈦杯-鈦鍋-鈦碗-煎鍋-純鈦-鍋具-組通過美國FDA檢驗標準-鈦廚具-i.3547990.1878317037?sp_atk=4595d49e-2075-40ae-9295-35cf5e82654d&xptdk=4595d49e-2075-40ae-9295-35cf5e82654d,794.0,4.92,3640.0,基隆市安樂區
15801913487,303765276,【矽膠不鏽鋼廚具】8款 矽膠廚具 不鏽鋼廚具 不沾鍋 廚具 矽膠湯勺 矽膠鍋鏟 不沾鍋廚具 料理用具 鍋鏟 炒菜鍋 湯勺,https://shopee.tw/【矽膠不鏽鋼廚具】8款-矽膠廚具-不鏽鋼廚具-不沾鍋-廚具-矽膠湯勺-矽膠鍋鏟-不沾鍋廚具-料理用具-鍋鏟-炒菜鍋-湯勺-i.303765276.15801913487?sp_atk=9014ee19-9934-475c-b5e2-b189f847b138&xptdk=9014ee19-9934-475c-b5e2-b189f847b138,75.0,4.98,191.0,臺南市南區
15816315941,162801760,❤️ 台灣現貨【相思木廚具】鍋鏟 木鏟 湯勺 飯匙 沙拉叉 木廚具 炒菜用具 料理用具 不沾鍋專用廚具 木餐具 D042,https://shopee.tw/❤️-台灣現貨【相思木廚具】鍋鏟-木鏟-湯勺-飯匙-沙拉叉-木廚具-炒菜用具-料理用具-不沾鍋專用廚具-木餐具-D042-i.162801760.15816315941?sp_atk=27874d69-040b-4030-9f41-057f1b0fb50d&xptdk=27874d69-040b-4030-9f41-057f1b0fb50d,109.0,4.97,1073.0,臺北市內湖區
23265683947,7959265,【優選好物】食品級硅膠鍋剷不粘鍋專用炒菜用的剷子傢用廚具套裝耐高溫不傷鍋ujou,https://shopee.tw/【優選好物】食品級硅膠鍋剷不粘鍋專用炒菜用的剷子傢用廚具套裝耐高溫不傷鍋ujou-i.7959265.23265683947?sp_atk=38a6f2b8-83ae-4ceb-ac42-9a39a342bef1&xptdk=38a6f2b8-83ae-4ceb-ac42-9a39a342bef1,375.5,5.0,4.0,桃園市大園區
23439353122,160634429,88-【免運】德國雙人牌Zwilling刀具套裝鋒利菜刀家用廚房切菜刀切片刀多用剪刀廚具套裝,https://shopee.tw/88-【免運】德國雙人牌Zwilling刀具套裝鋒利菜刀家用廚房切菜刀切片刀多用剪刀廚具套裝-i.160634429.23439353122?sp_atk=0aca7234-7654-439f-b4f0-2ad37474ef10&xptdk=0aca7234-7654-439f-b4f0-2ad37474ef10,880.0,5.0,3.0,臺中市西區
18307884464,433041567,KEMORELA 白色矽膠廚具12件套 耐熱耐高溫廚具套裝不沾鍋鍋鏟木柄矽膠廚具烘焙工具帶收納桶,https://shopee.tw/KEMORELA-白色矽膠廚具12件套-耐熱耐高溫廚具套裝不沾鍋鍋鏟木柄矽膠廚具烘焙工具帶收納桶-i.433041567.18307884464?sp_atk=451e4c4b-0943-4aed-a64b-7fb072736c5b&xptdk=451e4c4b-0943-4aed-a64b-7fb072736c5b,493.5,4.97,133.0,中國大陸
21333065344,193994746,【台灣24H出貨】日本製造 Nagao 燕三條 尼龍廚具套裝 露營廚具 尼龍廚具組 湯勺 夾子 煎鏟 平鏟 燕三条 露營,https://shopee.tw/【台灣24H出貨】日本製造-Nagao-燕三條-尼龍廚具套裝-露營廚具-尼龍廚具組-湯勺-夾子-煎鏟-平鏟-燕三条-露營-i.193994746.21333065344?sp_atk=0f72f21e-2772-447d-8ec9-9ad8b7791c81&xptdk=0f72f21e-2772-447d-8ec9-9ad8b7791c81,490.0,4.97,287.0,臺北市文山區
13311724693,77574566,【義大利 Black Hammer 原廠】樂廚料理廚具櫸木耐熱矽膠鍋鏟／湯勺／麵勺／食物夾,https://shopee.tw/【義大利-Black-Hammer-原廠】樂廚料理廚具櫸木耐熱矽膠鍋鏟／湯勺／麵勺／食物夾-i.77574566.13311724693?sp_atk=fc51cd42-147d-4292-b0d8-6f9b72b89210&xptdk=fc51cd42-147d-4292-b0d8-6f9b72b89210,775.0,4.99,215.0,臺中市龍井區
2203689103,94596163,【史瓦特】OPINEL游牧廚具組(附砧板、收納布)旅遊、戶外活動的最佳廚具組選擇 / 建議售價 : 2430.,https://shopee.tw/【史瓦特】OPINEL游牧廚具組(附砧板、收納布)旅遊、戶外活動的最佳廚具組選擇-建議售價-2430.-i.94596163.2203689103?sp_atk=c0eea84d-acc2-4a14-a5de-76868b9d1184&xptdk=c0eea84d-acc2-4a14-a5de-76868b9d1184,2050.0,4.98,319.0,臺北市萬華區
